Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
JWT,Airlines,Online,Value Plan,No,15,INDIA,50,20,M,118
KML,Travel Agency,Online,Value Plan,No,40,INDONESIA,28,10.64,F,48
KML,Travel Agency,Online,Value Plan,No,38,NETHERLANDS,75,28.5,M,48
KML,Travel Agency,Online,Value Plan,No,111,GERMANY,95,36.1,F,48
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15,6,M,39
JZI,Airlines,Online,Basic Plan,No,7,INDONESIA,30,10.5,F,35
JZI,Airlines,Online,Basic Plan,No,97,JAPAN,44,15.4,F,20
JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,33,11.55,M,63
JZI,Airlines,Online,Basic Plan,No,13,MYANMAR,30,10.5,M,60
JZI,Airlines,Online,Basic Plan,No,8,MACAO,26,9.1,M,57
JZI,Airlines,Online,Basic Plan,No,8,INDONESIA,18,6.3,F,25
JZI,Airlines,Online,Basic Plan,No,7,THAILAND,22,7.7,F,35
JZI,Airlines,Online,Basic Plan,No,10,CHINA,26,9.1,M,42
JZI,Airlines,Online,Basic Plan,No,118,THAILAND,22,7.7,F,34
JZI,Airlines,Online,Basic Plan,No,39,HONG KONG,26,9.1,F,68
JZI,Airlines,Online,Basic Plan,No,12,PHILIPPINES,18,6.3,M,34
JZI,Airlines,Online,Basic Plan,No,12,HONG KONG,26,9.1,F,43
JZI,Airlines,Online,Basic Plan,No,73,CHINA,26,9.1,M,41
JZI,Airlines,Online,Basic Plan,No,22,THAILAND,30,10.5,M,60
JZI,Airlines,Online,Value Plan,No,142,AUSTRALIA,58,20.3,F,24
JZI,Airlines,Online,Value Plan,No,4,CHINA,36,12.6,M,47
JZI,Airlines,Online,Value Plan,No,18,UNITED STATES,121,42.35,M,35
JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,44
JZI,Airlines,Online,Value Plan,No,15,HONG KONG,69,24.15,M,41
ART,Airlines,Online,24 Protect,No,351,PHILIPPINES,29.19,10.22,M,48
C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,23.8,5.95,F,34
C2B,Airlines,Online,Bronze Plan,No,30,SINGAPORE,35.25,8.81,F,27
C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,202,50.5,M,34
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,23.4,5.85,F,30
C2B,Airlines,Online,Bronze Plan,No,26,SINGAPORE,71,17.75,F,26
C2B,Airlines,Online,Bronze Plan,No,8,SINGAPORE,17.55,4.39,M,29
C2B,Airlines,Online,Silver Plan,Yes,16,SINGAPORE,74.25,18.56,M,27
C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,24.05,6.01,F,38
C2B,Airlines,Online,Silver Plan,No,68,SINGAPORE,24.05,6.01,M,47
C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62.25,15.56,F,27
C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,108,27,M,29
C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,127,31.75,F,30
C2B,Airlines,Online,Annual Gold Plan,No,368,SINGAPORE,389.35,97.34,M,50
JWT,Airlines,Online,Value Plan,No,15,INDIA,60,24,M,118
JWT,Airlines,Online,Value Plan,No,47,INDIA,39,15.6,M,118
JWT,Airlines,Online,Value Plan,No,2,INDIA,42,16.8,F,118
JWT,Airlines,Online,Value Plan,No,25,INDIA,31,12.4,M,118
JWT,Airlines,Online,Value Plan,No,5,INDIA,195,78,M,118
KML,Travel Agency,Online,Value Plan,No,13,INDONESIA,48,18.24,F,48
RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,23,9.2,M,54
RAB,Airlines,Online,Value Plan,No,8,BRUNEI DARUSSALAM,15,6,M,47
JZI,Airlines,Online,Basic Plan,No,12,THAILAND,30,10.5,M,51
JZI,Airlines,Online,Basic Plan,No,75,"KOREA, REPUBLIC OF",26,9.1,F,23
JZI,Airlines,Online,Basic Plan,No,9,"TAIWAN, PROVINCE OF CHINA",26,9.1,F,41
JZI,Airlines,Online,Basic Plan,No,9,MACAO,22,7.7,M,70
JZI,Airlines,Online,Basic Plan,No,3,THAILAND,18,6.3,M,56
JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,53
JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18,6.3,M,53
JZI,Airlines,Online,Basic Plan,No,11,MACAO,35,12.25,F,53
JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,0,6.3,M,29
JZI,Airlines,Online,Basic Plan,No,25,INDONESIA,22,7.7,M,45
JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,M,47
JZI,Airlines,Online,Basic Plan,No,27,THAILAND,30,10.5,M,40
JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,35,12.25,M,28
JZI,Airlines,Online,Basic Plan,No,178,INDONESIA,30,10.5,F,45
JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,M,38
JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,M,65
JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,22,7.7,M,67
JZI,Airlines,Online,Basic Plan,No,1,THAILAND,18,6.3,F,25
JZI,Airlines,Online,Basic Plan,No,10,JAPAN,35,12.25,F,61
JZI,Airlines,Online,Value Plan,No,12,"KOREA, REPUBLIC OF",58,20.3,M,43
JZI,Airlines,Online,Value Plan,No,80,UNITED ARAB EMIRATES,109,38.15,F,29
JZI,Airlines,Online,Value Plan,No,32,JAPAN,69,24.15,M,37
CSR,Travel Agency,Offline,Comprehensive Plan,No,35,THAILAND,29,9.57,M,26
CBH,Travel Agency,Offline,Comprehensive Plan,No,25,CHINA,0,16.5,M,32
CSR,Travel Agency,Offline,Comprehensive Plan,No,34,THAILAND,29,9.57,F,64
CCR,Travel Agency,Offline,Comprehensive Plan,No,150,MALAYSIA,29,9.57,F,61
ART,Airlines,Online,24 Protect,No,74,PHILIPPINES,24.9,8.71,F,48
ART,Airlines,Online,24 Protect,No,3,PHILIPPINES,0,8.56,F,48
C2B,Airlines,Online,Bronze Plan,No,86,SINGAPORE,74.9,18.73,F,32
C2B,Airlines,Online,Bronze Plan,No,3,SINGAPORE,27,6.75,M,39
C2B,Airlines,Online,Bronze Plan,No,10,SINGAPORE,53.25,13.31,M,29
C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,20.25,5.06,F,31
C2B,Airlines,Online,Bronze Plan,No,15,SINGAPORE,69,17.25,M,30
C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,35.25,8.81,F,28
C2B,Airlines,Online,Silver Plan,No,9,SINGAPORE,62.25,15.56,F,25
C2B,Airlines,Online,Silver Plan,No,7,SINGAPORE,62.25,15.56,F,24
C2B,Airlines,Online,Silver Plan,No,8,SINGAPORE,83,20.75,M,28
C2B,Airlines,Online,Gold Plan,No,9,SINGAPORE,89.25,22.31,F,28
C2B,Airlines,Online,Annual Silver Plan,Yes,364,SINGAPORE,252.85,63.21,M,30
C2B,Airlines,Online,Annual Silver Plan,No,365,SINGAPORE,202.3,50.58,M,36
JWT,Airlines,Online,Value Plan,No,64,INDIA,62,24.8,M,118
JWT,Airlines,Online,Value Plan,No,21,INDIA,31,12.4,M,118
KML,Travel Agency,Online,Premier Plan,No,51,INDONESIA,29,11.02,M,48
RAB,Airlines,Online,Value Plan,No,0,BRUNEI DARUSSALAM,15,6,F,24
RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6,M,32
RAB,Airlines,Online,Value Plan,No,6,BRUNEI DARUSSALAM,15,6,M,36
RAB,Airlines,Online,Value Plan,No,29,BRUNEI DARUSSALAM,23,9.2,M,52
JZI,Airlines,Online,Basic Plan,No,6,"TAIWAN, PROVINCE OF CHINA",22,7.7,F,40
JZI,Airlines,Online,Basic Plan,No,38,THAILAND,22,7.7,M,43
JZI,Airlines,Online,Basic Plan,No,17,INDIA,22,7.7,M,46
JZI,Airlines,Online,Basic Plan,No,155,PHILIPPINES,37,12.95,F,34
JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22,7.7,F,37
JZI,Airlines,Online,Basic Plan,No,4,CHINA,22,7.7,M,47
JZI,Airlines,Online,Basic Plan,No,10,MALAYSIA,30,10.5,M,45
JZI,Airlines,Online,Basic Plan,No,36,CHINA,35,12.25,M,79
JZI,Airlines,Online,Basic Plan,No,90,CHINA,44,15.4,M,62
JZI,Airlines,Online,Basic Plan,No,3,CHINA,22,7.7,M,32
JZI,Airlines,Online,Basic Plan,No,8,MALAYSIA,18,6.3,M,40
JZI,Airlines,Online,Basic Plan,No,6,CHINA,26,9.1,M,51
JZI,Airlines,Online,Basic Plan,No,2,THAILAND,18,6.3,F,27
JZI,Airlines,Online,Value Plan,No,65,UNITED STATES,96,33.6,F,39
JZI,Airlines,Online,Value Plan,No,40,JAPAN,45,15.75,M,41
JZI,Airlines,Online,Value Plan,No,7,THAILAND,26,9.1,M,55
JZI,Airlines,Online,Value Plan,No,20,AUSTRALIA,45,15.75,F,40
CSR,Travel Agency,Offline,Comprehensive Plan,No,67,THAILAND,29,9.57,F,51
C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,20.25,5.06,M,56
JWT,Airlines,Online,Value Plan,No,25,INDIA,60,24,M,118
KML,Travel Agency,Online,Value Plan,No,8,INDONESIA,22,8.36,M,48
KML,Travel Agency,Online,Value Plan,No,37,GERMANY,109,41.42,F,48
KML,Travel Agency,Online,Value Plan,No,57,DENMARK,75,28.5,M,48
RAB,Airlines,Online,Value Plan,No,30,BRUNEI DARUSSALAM,31,12.4,F,31
RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15,6,F,57
JZI,Airlines,Online,Basic Plan,No,28,CHINA,35,12.25,F,37
JZI,Airlines,Online,Basic Plan,No,71,"KOREA, REPUBLIC OF",35,12.25,F,29
JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,F,20
JZI,Airlines,Online,Basic Plan,No,9,HONG KONG,26,9.1,F,39
JZI,Airlines,Online,Basic Plan,No,45,MYANMAR,18,6.3,F,31
JZI,Airlines,Online,Basic Plan,No,25,CHINA,35,12.25,F,27
JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,42
JZI,Airlines,Online,Basic Plan,No,8,THAILAND,18,6.3,F,27
JZI,Airlines,Online,Basic Plan,No,7,MALAYSIA,18,6.3,M,42
JZI,Airlines,Online,Basic Plan,No,9,MALAYSIA,18,6.3,F,66
JZI,Airlines,Online,Basic Plan,No,40,JAPAN,35,12.25,M,34
JZI,Airlines,Online,Basic Plan,No,20,PHILIPPINES,18,6.3,F,35
JZI,Airlines,Online,Basic Plan,No,12,MALAYSIA,18,6.3,F,40
JZI,Airlines,Online,Basic Plan,No,100,THAILAND,33,11.55,M,58
JZI,Airlines,Online,Value Plan,No,32,AUSTRALIA,83,29.05,M,52
JZI,Airlines,Online,Value Plan,No,4,UNITED STATES,55,19.25,M,25
CBH,Travel Agency,Offline,Comprehensive Plan,No,75,THAILAND,29,9.57,M,70
ART,Airlines,Online,24 Protect,No,6,PHILIPPINES,39.85,13.95,M,48
C2B,Airlines,Online,Silver Plan,No,3,SINGAPORE,25.9,6.47,M,28
C2B,Airlines,Online,Silver Plan,No,26,SINGAPORE,76.3,19.07,M,70
JWT,Airlines,Online,Value Plan,No,23,INDIA,78,31.2,M,118
JWT,Airlines,Online,Value Plan,No,58,INDIA,31,12.4,M,118
JWT,Airlines,Online,Value Plan,No,23,INDIA,78,31.2,F,118
KML,Travel Agency,Online,Premier Plan,No,16,INDONESIA,83,31.54,M,48
JZI,Airlines,Online,Basic Plan,No,37,PHILIPPINES,22,7.7,F,45
JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,18,6.3,F,25
JZI,Airlines,Online,Basic Plan,No,7,VIET NAM,22,7.7,M,72
JZI,Airlines,Online,Basic Plan,No,70,CHINA,40,14,F,54
JZI,Airlines,Online,Basic Plan,No,181,INDONESIA,37,12.95,F,32
JZI,Airlines,Online,Basic Plan,No,7,THAILAND,18,6.3,M,16
JZI,Airlines,Online,Basic Plan,No,14,INDONESIA,22,7.7,M,44
JZI,Airlines,Online,Basic Plan,No,5,THAILAND,22,7.7,M,46
JZI,Airlines,Online,Value Plan,No,30,UNITED STATES,121,42.35,M,40
JZI,Airlines,Online,Value Plan,No,18,AUSTRALIA,58,20.3,F,35
JZI,Airlines,Online,Value Plan,No,34,CHINA,92,32.2,F,32
C2B,Airlines,Online,Bronze Plan,No,16,SINGAPORE,27,6.75,F,34
C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,0,12.94,M,40
C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,44.25,11.06,M,40
C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,36.75,9.19,F,33
C2B,Airlines,Online,Silver Plan,No,21,SINGAPORE,62.25,15.56,M,34
C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,37.5,9.38,M,25
C2B,Airlines,Online,Silver Plan,No,6,SINGAPORE,27.75,6.94,M,70
JWT,Airlines,Online,Value Plan,No,17,INDIA,39,15.6,M,118
JWT,Airlines,Online,Value Plan,No,21,INDIA,117,46.8,M,118
JWT,Airlines,Online,Value Plan,No,23,INDIA,100,40,F,118
JWT,Airlines,Online,Value Plan,No,14,INDIA,39,15.6,F,118
JWT,Airlines,Online,Value Plan,No,24,INDIA,50,20,F,118
KML,Travel Agency,Online,Premier Plan,No,104,INDONESIA,38,14.44,F,48
KML,Travel Agency,Online,Premier Plan,No,5,INDONESIA,38,14.44,M,48
RAB,Airlines,Online,Value Plan,No,12,BRUNEI DARUSSALAM,15,6,M,56
JZI,Airlines,Online,Basic Plan,No,3,INDONESIA,18,6.3,M,42
JZI,Airlines,Online,Basic Plan,No,8,MYANMAR,30,10.5,M,36
JZI,Airlines,Online,Basic Plan,No,85,THAILAND,22,7.7,M,58
JZI,Airlines,Online,Basic Plan,No,31,VIET NAM,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35,12.25,F,39
JZI,Airlines,Online,Basic Plan,No,51,THAILAND,30,10.5,M,59
JZI,Airlines,Online,Basic Plan,No,2,MALAYSIA,18,6.3,M,44
JZI,Airlines,Online,Basic Plan,No,2,INDONESIA,18,6.3,M,56
JZI,Airlines,Online,Basic Plan,No,103,"KOREA, REPUBLIC OF",35,12.25,F,26
JZI,Airlines,Online,Basic Plan,No,27,MALAYSIA,18,6.3,F,40
JZI,Airlines,Online,Basic Plan,No,5,CHINA,26,9.1,M,47
JZI,Airlines,Online,Value Plan,No,36,NETHERLANDS,109,38.15,M,32
JZI,Airlines,Online,Value Plan,No,4,INDONESIA,33,11.55,M,51
JZI,Airlines,Online,Value Plan,No,28,CHINA,69,24.15,M,32
CSR,Travel Agency,Offline,Comprehensive Plan,No,151,THAILAND,29,9.57,F,35
CCR,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,24
CBH,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,56
CBH,Travel Agency,Offline,Comprehensive Plan,No,122,THAILAND,29,9.57,F,60
CCR,Travel Agency,Offline,Comprehensive Plan,No,143,THAILAND,29,9.57,F,26
C2B,Airlines,Online,Bronze Plan,No,24,SINGAPORE,20.25,5.06,F,38
C2B,Airlines,Online,Bronze Plan,No,31,SINGAPORE,27,6.75,M,14
C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,27.75,6.94,M,46
C2B,Airlines,Online,Silver Plan,No,5,SINGAPORE,37,9.25,F,50
C2B,Airlines,Online,Annual Silver Plan,No,367,SINGAPORE,291.75,72.94,M,29
JWT,Airlines,Online,Value Plan,No,9,INDIA,39,15.6,M,118
JWT,Airlines,Online,Value Plan,No,14,INDIA,39,15.6,M,118
JWT,Airlines,Online,Value Plan,No,70,INDIA,31,12.4,M,118
JWT,Airlines,Online,Value Plan,No,9,INDIA,31,12.4,M,118
KML,Travel Agency,Online,Value Plan,No,99,INDONESIA,33,12.54,F,48
KML,Travel Agency,Online,Premier Plan,No,26,INDONESIA,38,14.44,M,48
JZI,Airlines,Online,Basic Plan,No,48,CHINA,40,14,F,50
JZI,Airlines,Online,Basic Plan,No,22,HONG KONG,35,12.25,F,49
JZI,Airlines,Online,Basic Plan,No,44,JAPAN,35,12.25,M,42
JZI,Airlines,Online,Basic Plan,No,24,THAILAND,37,12.95,M,36
JZI,Airlines,Online,Basic Plan,No,11,THAILAND,22,7.7,M,63
JZI,Airlines,Online,Basic Plan,No,5,MALAYSIA,18,6.3,M,31
JZI,Airlines,Online,Basic Plan,No,13,THAILAND,0,7.7,M,47
JZI,Airlines,Online,Basic Plan,No,59,MALAYSIA,30,10.5,M,51
JZI,Airlines,Online,Basic Plan,No,132,AUSTRALIA,40,14,M,39
JZI,Airlines,Online,Basic Plan,No,8,VIET NAM,22,7.7,M,55
JZI,Airlines,Online,Basic Plan,No,44,LAO PEOPLE'S DEMOCRATIC REPUBLIC,30,10.5,F,28
JZI,Airlines,Online,Basic Plan,No,70,PHILIPPINES,42,14.7,F,40
JZI,Airlines,Online,Basic Plan,No,15,MALAYSIA,18,6.3,F,27
JZI,Airlines,Online,Basic Plan,No,12,VIET NAM,22,7.7,F,31
JZI,Airlines,Online,Basic Plan,No,75,INDONESIA,18,6.3,M,47
JZI,Airlines,Online,Basic Plan,No,22,"TAIWAN, PROVINCE OF CHINA",35,12.25,M,55
