WeekOfMonth,WeekOfMonthClaimed,Age,PolicyNumber,RepNumber,Deductible,DriverRating,PoliceReportFiled,WitnessPresent,Year,FraudFound_P
2,2,29,46,8,400,3,No,No,1994,0
2,3,32,47,9,400,4,No,No,1994,0
4,4,37,48,13,400,3,No,No,1994,0
3,1,37,49,10,400,1,No,No,1994,0
3,3,59,50,9,400,4,No,No,1994,0
4,4,49,51,14,400,2,No,No,1994,0
4,4,27,52,4,500,3,No,No,1994,0
3,4,21,53,4,400,4,No,No,1994,1
4,2,50,54,13,400,1,No,No,1994,1
4,4,45,55,8,400,1,No,No,1994,0
3,3,49,56,7,400,4,No,No,1994,0
4,5,30,57,5,400,4,No,No,1994,0
2,2,37,58,11,400,3,No,No,1994,0
1,4,0,59,15,400,4,No,No,1994,0
1,2,27,60,4,400,4,No,No,1994,0
1,3,30,61,5,400,4,No,No,1994,0
2,4,49,62,6,400,4,No,No,1994,0
4,3,0,63,3,400,2,No,No,1994,0
5,1,26,64,13,400,3,No,No,1994,0
1,2,48,65,1,400,1,No,No,1994,0
4,2,31,66,6,400,3,No,No,1994,0
3,3,40,67,16,400,2,No,No,1994,0
4,5,65,68,12,400,1,No,No,1994,0
1,1,64,69,5,400,1,No,No,1994,0
1,1,55,70,12,400,2,No,No,1994,0
1,1,44,71,16,400,1,No,No,1994,0
1,1,27,72,9,400,3,No,No,1994,0
4,5,28,73,5,400,3,No,No,1994,0
1,1,47,74,7,400,2,No,No,1994,0
5,1,60,75,12,400,3,No,No,1994,0
1,4,33,76,9,400,4,No,No,1994,0
4,1,27,77,1,400,3,No,No,1994,0
2,3,47,78,12,400,3,No,No,1994,0
2,3,29,79,16,400,1,No,No,1994,0
4,1,33,80,10,400,1,No,No,1994,0
3,3,38,81,13,400,4,No,No,1994,0
3,4,37,82,6,400,2,No,No,1994,0
2,3,36,83,13,400,4,No,No,1994,0
5,1,44,84,9,400,4,No,No,1994,0
1,1,0,85,6,400,2,No,No,1994,0
2,1,27,86,4,400,4,No,No,1994,0
4,4,27,87,14,400,3,No,No,1994,0
4,4,39,88,1,400,2,No,No,1994,0
5,5,74,89,13,400,4,No,No,1994,0
4,4,23,90,8,400,2,No,No,1994,0
4,4,25,91,2,400,1,No,No,1994,0
2,2,38,92,13,400,2,No,No,1994,0
2,4,41,93,16,400,1,No,No,1994,0
4,5,38,94,13,700,3,No,No,1994,0
2,3,34,95,7,400,3,No,No,1994,1
2,2,61,96,15,400,4,No,No,1994,0
2,1,38,97,7,400,2,No,No,1994,1
3,4,40,98,4,400,4,No,No,1994,0
3,4,41,99,12,400,4,No,No,1994,0
4,5,36,100,10,400,1,No,No,1994,0
3,2,31,101,2,400,1,No,No,1994,1
5,5,35,102,10,400,4,No,No,1994,0
4,1,37,103,14,500,2,Yes,No,1994,0
1,2,55,104,14,400,3,No,No,1994,0
1,1,31,105,12,400,4,No,No,1994,0
3,3,28,106,5,400,1,No,No,1994,0
1,1,28,107,11,400,2,No,No,1994,0
4,2,44,108,11,400,1,No,No,1994,0
1,4,47,109,1,400,1,No,No,1994,0
1,1,40,110,16,400,4,No,No,1994,0
2,1,23,111,4,400,2,No,No,1994,0
2,2,31,112,6,400,3,No,No,1994,0
4,5,35,113,9,400,1,No,No,1994,0
4,2,56,114,10,400,2,No,No,1994,1
4,1,50,115,2,400,3,No,No,1994,0
2,2,16,116,2,400,1,No,No,1994,0
5,5,32,117,12,400,2,No,Yes,1994,0
2,5,28,118,4,400,3,No,No,1994,0
5,1,68,119,9,400,3,No,No,1994,1
1,3,0,120,7,400,3,No,No,1994,1
1,3,0,121,8,400,3,No,No,1994,0
2,3,18,122,12,400,4,No,No,1994,0
3,3,30,123,2,400,1,No,No,1994,0
4,4,51,124,1,400,4,No,No,1994,0
2,2,22,125,6,400,3,No,No,1994,0
2,2,26,126,16,400,4,No,No,1994,0
4,1,53,127,15,400,2,Yes,No,1994,0
4,5,38,128,13,400,3,No,No,1994,0
4,4,27,129,9,400,3,No,Yes,1994,0
4,4,29,130,14,400,3,No,No,1994,0
2,2,32,131,10,400,1,No,No,1994,0
4,4,18,132,14,400,3,No,No,1994,0
3,4,60,133,6,400,4,No,No,1994,0
3,3,53,134,12,400,3,No,No,1994,0
1,2,29,135,16,400,4,No,No,1994,0
2,2,29,136,6,400,2,No,No,1994,0
2,4,41,137,9,400,4,No,No,1994,0
4,1,29,138,9,400,4,No,No,1994,0
4,1,42,139,2,400,2,No,No,1994,0
5,1,34,140,9,400,2,No,No,1994,0
3,3,51,141,11,400,4,No,No,1994,0
4,1,32,142,3,400,4,No,No,1994,0
5,1,52,143,10,400,4,No,No,1994,0
3,3,61,144,8,400,2,No,No,1994,0
3,4,25,145,1,400,4,No,No,1994,0
1,1,41,146,6,400,1,No,No,1994,0
3,3,33,147,10,400,1,No,No,1994,0
1,3,39,148,1,400,3,No,No,1994,1
1,2,30,149,13,400,1,No,No,1994,0
4,4,50,150,15,400,4,No,No,1994,0
2,2,31,151,8,400,1,No,No,1994,0
2,2,23,152,8,400,4,No,No,1994,0
2,2,31,153,10,400,3,No,No,1994,0
4,1,50,154,2,500,3,No,No,1994,0
5,5,33,155,8,400,3,No,No,1994,0
5,1,30,156,6,400,2,No,No,1994,0
5,1,44,157,13,400,1,No,No,1994,0
4,4,46,158,13,400,2,No,No,1994,0
5,1,31,159,11,400,4,No,No,1994,0
5,5,48,160,5,400,3,No,No,1994,0
2,2,33,161,12,400,3,No,No,1994,1
4,4,0,162,3,400,1,No,No,1994,0
4,4,37,163,5,400,3,No,No,1994,0
4,4,43,164,3,400,3,No,No,1994,0
2,4,32,165,14,400,1,No,No,1994,0
2,2,57,166,4,400,1,No,No,1994,0
3,3,65,167,8,400,2,No,No,1994,0
2,2,27,168,12,400,4,No,No,1994,0
4,2,42,169,6,400,4,No,No,1994,0
3,4,57,170,7,400,1,No,No,1994,0
4,5,32,171,2,400,3,No,No,1994,0
1,3,29,172,7,400,2,No,No,1994,0
2,4,36,173,2,400,4,No,No,1994,0
2,2,28,174,2,400,4,No,No,1994,0
1,2,32,175,14,400,1,No,No,1994,0
1,2,33,176,1,400,2,No,No,1994,0
2,2,37,177,1,400,2,No,No,1994,0
5,1,26,178,16,400,3,No,No,1994,0
3,3,53,179,5,400,1,No,No,1994,0
3,3,53,180,12,400,3,No,No,1994,0
3,3,74,181,8,400,4,No,No,1994,0
3,4,50,182,3,400,2,No,No,1994,0
2,2,27,183,3,400,4,No,No,1994,0
2,1,48,184,7,400,1,No,No,1994,0
1,1,55,185,2,400,2,No,No,1994,0
1,1,48,186,10,400,4,No,No,1994,0
1,2,0,187,8,400,4,No,No,1994,0
5,2,54,188,10,400,4,No,No,1994,0
1,1,36,189,14,400,1,No,No,1994,0
2,1,43,190,10,400,2,No,No,1994,1
5,1,41,191,1,400,4,No,No,1994,0
4,4,48,192,6,400,2,No,No,1994,0
3,2,26,193,14,400,2,No,No,1994,1
2,3,43,194,1,400,3,No,No,1994,0
3,1,39,195,13,400,3,No,No,1994,1
1,2,49,196,4,400,3,No,No,1994,0
1,3,37,197,14,400,3,No,No,1994,0
1,2,36,198,1,400,3,No,No,1994,0
1,2,52,199,4,400,4,No,No,1994,0
4,2,29,200,16,400,4,No,No,1994,0
4,1,38,201,10,400,4,No,No,1994,0
4,1,34,202,2,400,4,No,No,1994,0
4,2,0,203,14,400,3,No,No,1994,0
1,1,41,204,6,400,4,No,No,1994,0
3,3,41,205,16,500,3,No,No,1994,1
4,1,64,206,15,400,3,No,No,1994,0
3,2,27,207,11,400,4,No,No,1994,1
5,1,25,208,5,400,4,No,No,1994,0
1,2,21,209,5,400,2,No,No,1994,0
4,3,31,210,16,400,2,No,No,1994,0
3,3,39,211,3,400,1,No,No,1994,0
4,5,37,212,1,400,1,No,No,1994,0
3,3,41,213,11,400,4,No,No,1994,0
2,3,37,214,16,400,4,No,No,1994,0
4,4,28,215,7,400,1,No,No,1994,0
1,2,57,216,12,400,1,No,No,1994,0
1,3,61,217,9,400,2,Yes,No,1994,0
5,5,69,218,3,700,4,No,No,1994,0
5,2,67,219,11,400,1,No,No,1994,0
1,1,52,220,1,400,4,No,No,1994,0
4,1,23,221,15,400,1,No,No,1994,0
4,4,38,222,2,400,4,No,No,1994,0
2,2,32,223,13,400,4,No,No,1994,0
2,2,26,224,9,400,2,No,No,1994,0
2,2,57,225,4,400,1,No,No,1994,0
3,3,29,226,2,400,2,No,No,1994,0
3,4,26,227,5,400,2,No,No,1994,0
3,5,30,228,14,400,1,No,No,1994,0
4,1,41,229,1,400,2,No,No,1994,1
4,4,65,230,14,400,4,No,No,1994,0
2,4,33,231,13,400,1,No,No,1994,0
2,2,44,232,10,400,2,No,No,1994,0
4,1,26,233,12,400,2,No,No,1994,1
5,1,32,234,5,400,2,No,No,1994,0
4,4,29,235,16,400,3,No,No,1994,0
4,2,26,236,16,400,4,No,No,1994,1
1,1,37,237,3,400,4,No,Yes,1994,0
1,1,33,238,11,400,1,No,No,1994,0
3,4,54,239,7,400,2,No,No,1994,0
3,3,26,240,5,400,4,No,No,1994,0
3,3,32,241,16,400,4,No,No,1994,0
3,3,25,242,1,400,3,No,No,1994,0
3,3,23,243,12,400,3,No,No,1994,0
4,3,0,244,7,400,1,No,No,1994,0
3,4,31,245,9,400,1,No,No,1994,0
4,1,0,246,3,400,4,No,No,1994,0
3,5,42,247,14,400,4,No,No,1994,0
3,3,42,248,11,400,2,No,No,1994,0
3,3,32,249,16,700,2,No,No,1994,0
2,2,51,250,1,400,2,No,No,1994,0
3,3,19,251,12,400,4,No,No,1994,0
3,4,26,252,10,400,1,No,No,1994,0
3,4,29,253,3,400,2,No,No,1994,0
3,3,29,254,15,400,2,No,No,1994,0
5,1,29,255,12,400,2,No,No,1994,0
5,1,44,256,9,500,2,No,No,1994,0
5,1,49,257,5,400,3,No,No,1994,0
5,1,47,258,12,400,1,No,No,1994,0
3,3,50,259,16,400,3,No,No,1994,0
5,5,50,260,10,400,2,No,No,1994,0
1,1,44,261,9,400,2,No,No,1994,0
2,2,42,262,1,400,4,No,No,1994,0
5,5,49,263,3,400,1,No,No,1994,0
1,1,34,264,7,400,4,No,No,1994,0
4,5,51,265,16,400,2,No,No,1994,0
4,1,26,266,5,400,2,No,No,1994,0
1,2,39,267,4,400,3,No,No,1994,0
2,2,30,268,3,400,2,No,No,1994,0
2,3,0,269,5,400,3,No,No,1994,0
1,2,47,270,9,400,3,No,No,1994,0
2,2,33,271,2,400,3,No,No,1994,0
2,2,31,272,6,400,4,No,No,1994,0
2,2,50,273,7,400,4,No,No,1994,0
2,3,78,274,11,400,1,No,No,1994,0
2,3,41,275,9,400,3,No,No,1994,0
1,3,39,276,11,400,4,No,No,1994,0
1,2,33,277,10,400,2,No,No,1994,0
1,2,0,278,16,400,2,No,No,1994,0
2,4,48,279,1,400,4,No,No,1994,0
3,1,0,280,12,400,4,No,No,1994,0
2,1,0,281,11,400,4,No,No,1994,0
4,4,30,282,4,400,2,No,No,1994,0
3,2,0,283,10,400,2,No,No,1994,0
4,2,38,284,4,400,2,No,No,1994,0
5,2,28,285,7,400,3,No,No,1994,0
5,1,33,286,8,400,4,No,No,1994,0
1,1,38,287,1,400,1,No,No,1994,0
1,2,0,288,11,400,4,No,No,1994,0
1,1,31,289,15,400,4,No,No,1994,0
1,2,36,290,1,400,2,No,No,1994,0
1,2,27,291,2,400,4,No,No,1994,0
2,2,60,292,1,400,1,No,No,1994,0
2,2,72,293,2,400,2,No,No,1994,0
2,2,44,294,5,400,2,No,No,1994,0
3,3,0,295,11,400,1,No,No,1994,0
1,4,77,296,10,400,1,No,No,1994,0
3,4,40,297,15,400,1,No,No,1994,0
5,1,43,298,1,400,4,No,No,1994,1
3,4,33,299,14,400,4,No,No,1994,0
1,2,36,300,2,400,3,No,No,1994,0
5,3,21,301,7,400,3,No,No,1994,0
5,1,21,302,2,400,2,No,No,1994,0
3,5,33,303,9,400,1,No,No,1994,0
1,3,75,304,1,400,2,No,No,1994,0
2,2,34,305,7,400,1,No,No,1994,0
4,5,31,306,9,400,2,No,No,1994,0
1,1,31,307,2,500,4,No,No,1994,0
1,1,47,308,5,400,4,No,No,1994,0
5,2,46,309,7,400,1,No,No,1994,1
5,1,0,310,6,400,3,No,No,1994,1
1,1,35,311,10,400,1,No,No,1994,0
1,2,31,312,11,400,4,No,No,1994,0
2,2,33,313,13,400,2,No,No,1994,0
1,2,35,314,15,400,3,No,No,1994,0
5,1,45,315,4,400,2,No,No,1994,0
5,2,0,316,14,400,1,No,No,1994,1
4,2,50,317,12,400,3,No,No,1994,0
1,1,0,318,16,400,4,No,No,1994,1
4,4,42,319,14,400,1,No,No,1994,0
4,4,32,320,2,400,1,No,No,1994,0
3,3,49,321,2,400,4,No,No,1994,0
1,1,53,322,4,400,1,No,No,1994,0
3,3,32,323,15,400,3,No,No,1994,0
2,4,52,324,8,400,2,No,No,1994,0
2,4,41,325,1,400,2,No,No,1994,0
2,2,36,326,1,400,2,No,No,1994,0
2,3,46,327,7,400,2,No,No,1994,0
3,3,32,328,13,400,3,No,No,1994,0
1,2,32,329,12,400,1,No,No,1994,0
3,3,31,330,3,400,3,No,No,1994,0
1,1,43,331,5,400,2,No,No,1994,0
1,2,30,332,1,400,1,No,No,1994,0
4,4,60,333,8,400,4,No,No,1994,0
4,4,55,334,11,400,3,No,No,1994,0
5,5,27,335,9,400,4,No,No,1994,0
4,5,29,336,14,400,2,No,No,1994,0
2,3,25,337,9,400,1,No,No,1994,0
3,3,38,338,11,400,2,No,No,1994,0
3,4,26,339,12,400,4,No,No,1994,0
4,1,56,340,6,400,4,No,No,1994,0
4,4,47,341,3,400,2,No,No,1994,0
4,2,29,342,4,700,3,No,No,1994,0
2,2,31,343,4,400,1,No,No,1994,0
4,4,46,344,13,400,1,No,No,1994,0
4,4,60,345,5,400,2,No,No,1994,0
3,4,30,346,4,400,3,No,No,1994,0
5,1,51,347,10,400,2,No,No,1994,0
3,4,80,348,5,400,3,No,No,1994,0
3,4,0,349,6,400,2,No,No,1994,0
1,2,52,350,1,400,1,No,No,1994,0
1,1,36,351,6,400,1,No,No,1994,0
5,1,67,352,7,400,2,No,No,1994,0
1,2,58,353,15,400,2,No,No,1994,0
2,2,31,354,11,400,4,No,No,1994,0
2,2,50,355,10,400,2,No,No,1994,0
2,3,50,356,7,400,4,No,No,1994,0
2,2,55,357,8,400,3,No,No,1994,0
1,1,36,358,14,500,4,No,No,1994,0
1,1,31,359,8,400,4,No,No,1994,0
1,2,23,360,13,400,3,No,No,1994,0
1,1,34,361,14,400,3,No,No,1994,0
3,3,30,362,1,400,4,No,No,1994,0
2,2,45,363,8,400,3,No,No,1994,0
3,1,37,364,11,400,3,No,No,1994,0
3,5,35,365,3,400,3,No,No,1994,0
1,2,30,366,14,400,1,No,No,1994,0
1,1,50,367,8,400,2,No,No,1994,1
5,3,47,368,13,400,1,No,No,1994,0
3,3,26,369,6,400,3,No,No,1994,0
2,3,59,370,8,400,1,No,No,1994,0
5,1,26,371,14,400,2,No,No,1994,0
4,2,51,372,12,400,2,No,No,1994,0
2,3,42,373,12,700,2,No,No,1994,0
4,4,37,374,14,400,4,No,No,1994,0
3,3,31,375,10,400,4,No,No,1994,0
3,4,31,376,3,400,3,No,No,1994,0
2,2,35,377,12,400,4,No,No,1994,0
2,5,28,378,12,400,4,No,No,1994,0
1,1,26,379,8,400,3,No,No,1994,0
3,3,31,380,3,400,3,No,No,1994,0
1,2,61,381,6,400,2,No,No,1994,1
3,4,35,382,4,400,4,No,No,1994,0
1,1,31,383,10,400,1,No,No,1994,0
5,5,69,384,11,400,1,No,No,1994,0
5,2,40,385,7,400,4,No,No,1994,0
1,4,28,386,7,400,3,No,No,1994,1
1,4,44,387,12,400,2,No,No,1994,0
4,4,77,388,10,400,3,No,No,1994,0
1,1,0,389,15,400,3,No,No,1994,0
4,4,29,390,10,400,2,No,No,1994,0
5,1,53,391,8,400,2,No,No,1994,0
1,2,29,392,11,400,3,No,No,1994,0
3,4,25,393,15,400,4,No,No,1994,0
2,2,22,394,6,400,2,No,No,1994,0
3,4,28,395,8,400,3,No,No,1994,0
4,4,22,396,10,400,1,No,No,1994,0
2,2,34,397,7,400,4,No,No,1994,0
2,2,30,398,5,400,1,No,No,1994,0
1,1,59,399,5,400,3,No,No,1994,0
1,2,46,400,5,400,4,No,No,1994,0
1,2,39,401,12,400,4,No,No,1994,0
1,1,34,402,15,400,2,No,No,1994,0
1,3,52,403,8,400,4,No,No,1994,0
3,3,47,404,1,700,3,No,No,1994,0
1,1,26,405,12,400,2,No,No,1994,0
1,3,54,406,7,400,4,No,No,1994,1
1,1,32,407,4,400,3,No,No,1994,0
3,5,28,408,15,400,2,Yes,No,1994,0
2,3,29,409,10,500,2,No,No,1994,1
4,4,27,410,12,400,1,No,No,1994,0
3,2,36,411,9,400,1,No,No,1994,0
4,2,49,412,14,400,2,No,No,1994,0
2,2,33,413,3,400,4,No,No,1994,0
2,3,60,414,7,400,1,No,No,1994,0
2,3,34,415,11,400,2,No,No,1994,0
3,4,32,416,6,400,1,No,No,1994,0
3,3,45,417,2,400,3,No,No,1994,0
1,1,46,418,13,400,4,No,No,1994,0
1,4,38,419,6,400,4,No,No,1994,0
3,3,33,420,2,400,4,No,No,1994,0
4,1,44,421,2,400,3,No,No,1994,0
1,4,80,422,3,400,4,No,No,1994,0
4,4,44,423,15,400,2,No,No,1994,0
5,5,33,424,2,400,2,No,No,1994,0
4,1,29,425,3,400,3,No,No,1994,0
2,3,47,426,9,400,2,No,No,1994,0
2,2,51,427,13,400,3,Yes,No,1994,0
1,3,43,428,7,400,2,No,No,1994,0
4,1,29,429,11,400,1,No,No,1994,0
4,5,28,430,11,400,4,No,No,1994,0
1,2,48,431,5,400,1,No,No,1994,0
4,2,41,432,7,400,3,No,No,1994,0
3,4,28,433,7,400,2,No,No,1994,0
3,2,50,434,2,400,2,No,No,1994,0
3,3,0,435,4,400,2,No,No,1994,0
3,1,46,436,1,400,2,No,No,1994,0
3,4,45,437,6,400,4,No,No,1994,0
3,3,65,438,9,400,3,No,No,1994,0
2,2,28,439,1,400,1,No,No,1994,0
2,1,67,440,16,400,4,No,No,1994,0
1,2,30,441,14,400,1,No,No,1994,0
1,2,0,442,10,400,4,No,No,1994,0
1,2,50,443,2,400,2,No,No,1994,0
3,1,29,444,15,400,1,No,No,1994,0
3,1,39,445,15,400,3,No,No,1994,0
4,1,47,446,16,400,2,No,No,1994,0
4,5,21,447,4,400,4,No,No,1994,0
4,4,34,448,8,400,1,No,No,1994,0
1,1,32,449,13,400,2,No,No,1994,0
2,2,31,450,4,400,1,No,No,1994,1
1,2,29,451,8,400,1,No,No,1994,0
5,1,32,452,13,400,3,No,No,1994,0
4,4,43,453,3,400,2,No,No,1994,0
4,4,60,454,3,400,4,No,No,1994,0
4,5,35,455,6,400,1,No,No,1994,0
5,1,30,456,9,400,1,No,No,1994,0
5,1,42,457,8,400,4,No,No,1994,0
2,4,38,458,8,400,1,No,No,1994,0
5,1,46,459,3,400,2,No,No,1994,0
4,5,28,460,15,500,4,No,No,1994,0
4,4,73,461,15,400,2,No,No,1994,0
1,2,25,462,12,400,4,No,No,1994,0
3,4,39,463,13,400,1,No,No,1994,0
2,2,47,464,1,400,3,No,No,1994,0
5,1,25,465,11,400,1,No,No,1994,0
4,4,29,466,11,400,4,No,No,1994,0
5,3,37,467,11,400,2,No,No,1994,0
1,2,52,468,12,400,3,No,No,1994,0
1,2,26,469,1,400,2,No,No,1994,0
2,2,64,470,6,400,4,No,No,1994,0
1,3,28,471,5,400,3,No,No,1994,0
2,2,50,472,11,400,4,No,No,1994,0
4,2,52,473,11,400,1,No,No,1994,0
4,3,30,474,13,400,3,No,No,1994,0
3,4,41,475,13,400,3,No,No,1994,0
5,2,51,476,5,400,4,No,No,1994,0
1,2,22,477,5,400,3,No,No,1994,0
5,4,37,478,15,400,3,No,No,1994,0
3,3,57,479,6,400,3,No,No,1994,0
3,3,33,480,11,400,3,No,No,1994,0
4,1,55,481,10,400,1,No,No,1994,0
3,3,51,482,5,400,1,No,No,1994,0
2,3,27,483,2,400,1,No,No,1994,0
4,2,27,484,8,400,3,No,No,1994,0
5,1,30,485,5,400,1,No,No,1994,0
5,1,37,486,3,400,4,No,No,1994,0
4,3,53,487,6,400,3,No,No,1994,0
1,2,23,488,1,400,2,No,No,1994,0
2,2,0,489,16,400,4,No,No,1994,0
2,2,45,490,5,400,4,No,No,1994,0
3,4,24,491,5,400,4,No,No,1994,0
3,1,28,492,5,400,3,No,No,1994,0
2,2,55,493,2,400,2,Yes,No,1994,0
3,3,0,494,7,400,4,No,No,1994,0
1,4,32,495,13,400,4,No,No,1994,0
2,2,21,496,4,400,3,No,No,1994,0
4,5,46,497,3,400,4,No,No,1994,0
3,4,49,498,15,400,4,No,No,1994,0
3,3,45,499,11,400,3,No,No,1994,0
3,3,45,500,12,400,1,No,No,1994,0
3,3,48,501,3,400,1,No,No,1994,0
2,2,43,502,2,400,3,No,No,1994,0
2,3,35,503,9,400,4,No,No,1994,0
2,2,74,504,10,400,1,No,No,1994,1
2,3,32,505,3,400,2,No,No,1994,0
2,3,24,506,2,400,2,No,No,1994,0
1,1,30,507,13,400,1,No,No,1994,0
1,1,42,508,5,400,2,No,No,1994,0
2,3,36,509,1,400,4,No,No,1994,1
2,2,39,510,12,400,3,No,No,1994,0
3,3,22,511,12,400,2,No,No,1994,0
3,4,46,512,13,400,1,No,No,1994,0
3,3,30,513,2,400,3,No,No,1994,0
3,3,58,514,7,400,4,No,No,1994,0
1,1,46,515,14,400,1,No,No,1994,0
1,1,71,516,12,400,4,No,No,1994,0
4,4,42,517,11,400,1,No,No,1994,0
1,1,52,518,13,400,4,No,No,1994,0
1,1,53,519,3,400,3,No,No,1994,0
4,4,58,520,8,400,4,No,No,1994,0
4,5,33,521,5,400,1,No,No,1994,0
5,5,0,522,15,400,2,No,No,1994,0
2,4,37,523,13,400,2,No,No,1994,1
1,1,53,524,14,400,3,No,No,1994,0
1,1,41,525,3,400,2,No,No,1994,0
2,2,51,526,11,400,2,No,No,1994,0
2,2,41,527,10,400,1,No,No,1994,0
2,3,34,528,13,400,1,No,No,1994,0
2,2,39,529,15,400,4,No,No,1994,1
2,4,49,530,16,400,4,No,No,1994,0
1,2,30,531,7,400,4,No,No,1994,0
1,2,61,532,2,400,1,No,No,1994,0
2,3,51,533,1,400,4,No,No,1994,0
2,3,33,534,7,400,3,No,No,1994,1
2,2,80,535,8,400,2,No,No,1994,0
3,2,61,536,1,400,4,No,No,1994,0
2,3,33,537,13,400,1,No,No,1994,1
3,3,31,538,13,400,4,No,No,1994,0
2,2,37,539,5,400,2,No,No,1994,1
4,2,57,540,11,400,3,No,No,1994,0
4,1,32,541,8,400,2,No,No,1994,0
4,4,55,542,4,400,3,No,No,1994,0
2,4,0,543,12,400,4,No,No,1994,1
3,4,38,544,10,400,4,No,No,1994,0
5,2,49,545,9,400,3,No,No,1994,0
5,2,50,546,6,400,2,No,No,1994,0
4,1,48,547,5,400,1,No,No,1994,0
3,2,26,548,7,400,1,No,No,1994,0
3,1,46,549,8,400,1,No,No,1994,0
4,4,0,550,6,400,2,No,No,1994,0
3,4,64,551,7,400,4,No,No,1994,0
2,4,72,552,16,400,2,No,No,1994,0
2,2,51,553,13,400,2,No,No,1994,0
1,2,64,554,7,400,3,No,No,1994,0
1,2,47,555,3,400,3,No,No,1994,0
1,3,26,556,16,400,2,No,No,1994,0
2,4,29,557,5,400,3,No,No,1994,1
5,1,31,558,1,400,1,No,No,1994,0
4,3,38,559,6,700,3,No,No,1994,0
4,2,42,560,2,400,2,No,No,1994,0
5,1,38,561,13,400,4,No,No,1994,0
1,1,28,562,5,500,2,No,No,1994,0
1,1,37,563,6,400,4,No,No,1994,0
3,4,29,564,13,400,4,No,No,1994,0
2,2,51,565,9,400,1,No,No,1994,1
1,1,56,566,5,400,1,No,No,1994,0
1,2,27,567,4,400,2,No,No,1994,0
1,4,80,568,9,400,2,No,No,1994,0
4,4,33,569,5,400,2,No,No,1994,0
2,2,50,570,4,400,3,No,No,1994,0
4,4,45,571,5,400,4,No,No,1994,0
3,3,26,572,15,400,3,No,No,1994,0
4,5,33,573,11,400,4,No,No,1994,0
4,4,64,574,2,400,2,No,No,1994,0
3,4,27,575,12,400,3,No,No,1994,0
4,4,33,576,8,400,3,No,No,1994,0
3,3,23,577,3,400,3,No,No,1994,0
2,2,36,578,10,400,2,No,No,1994,0
2,3,52,579,7,400,3,No,No,1994,0
2,5,44,580,5,400,4,No,No,1994,0
1,1,65,581,7,400,3,No,No,1994,0
2,3,45,582,4,400,1,No,No,1994,0
2,3,40,583,14,400,2,No,No,1994,0
4,4,29,584,5,400,1,No,No,1994,0
4,4,24,585,13,400,2,No,No,1994,0
4,1,50,586,7,400,3,No,No,1994,0
2,4,38,587,13,400,4,No,No,1994,0
4,1,51,588,15,400,1,No,No,1994,0
4,5,35,589,2,400,2,No,No,1994,0
1,2,41,590,9,700,2,No,No,1994,0
4,5,28,591,14,400,4,No,No,1994,0
2,2,27,592,10,400,3,No,No,1994,0
3,4,26,593,12,400,1,No,No,1994,0
3,3,44,594,5,400,1,No,No,1994,0
2,2,26,595,5,400,3,No,No,1994,0
2,2,34,596,5,400,1,No,No,1994,0
3,3,30,597,10,400,4,No,No,1994,0
3,4,33,598,12,400,1,No,No,1994,0
4,1,26,599,16,400,4,No,No,1994,0
1,1,36,600,2,400,3,No,No,1994,0
