is_male,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,Vintage,Annual_Premium,claim
0,24,1,7,1,12,1,160,68,2630,0
1,52,1,28,1,6,0,26,92,36033,0
1,24,1,3,1,12,0,152,52,28139,0
0,20,1,30,0,12,1,160,78,33227,0
0,22,1,8,1,12,0,152,156,39816,0
1,29,1,41,1,12,1,163,222,43046,0
0,44,1,28,0,6,1,26,22,50521,1
0,23,1,41,1,12,0,152,158,36674,0
1,31,1,29,0,6,1,124,247,28867,0
1,72,1,46,1,6,1,30,216,28698,0
1,45,1,35,0,6,1,124,275,2630,0
1,27,1,8,1,12,0,122,77,31428,0
0,48,1,46,0,24,1,11,139,37379,0
0,33,1,30,1,12,0,152,181,24998,0
1,50,1,30,0,6,1,26,229,34271,1
0,28,1,30,1,12,0,152,275,32830,0
0,32,1,46,0,6,1,26,166,34810,0
1,69,1,46,0,6,1,11,16,2630,0
0,32,1,27,1,12,0,151,295,22838,0
0,23,1,29,1,12,0,152,23,37983,0
0,23,1,25,0,12,0,152,149,2630,0
1,39,1,3,0,6,1,26,216,37239,1
0,39,1,28,1,6,0,124,31,37243,0
1,37,1,13,0,6,1,124,293,30440,0
1,34,1,18,0,6,1,124,156,38232,1
1,23,1,15,1,12,0,160,256,25605,0
1,49,1,28,0,6,1,124,88,2630,0
1,23,1,41,1,12,0,152,147,33307,0
0,22,1,25,0,12,1,160,22,23955,0
0,22,1,20,0,12,1,152,219,2630,0
0,27,1,41,1,12,0,152,50,22371,0
1,50,1,28,0,6,1,26,155,57389,1
0,27,1,28,1,12,0,152,92,30005,0
1,28,1,37,1,12,0,152,131,32600,0
0,25,1,49,1,12,0,152,66,31680,0
0,27,1,8,1,12,0,152,260,40651,0
0,43,1,41,0,6,1,26,19,2630,1
0,59,1,39,0,6,1,124,158,32775,0
0,23,1,36,0,12,1,160,22,33638,0
1,36,1,28,1,6,0,26,258,2630,0
1,21,1,29,1,12,0,152,116,62164,0
0,21,1,46,1,12,0,160,117,27528,0
0,47,1,41,1,6,0,124,62,42080,0
1,25,1,28,1,12,0,152,193,36202,0
0,32,1,46,0,6,1,156,204,27320,0
1,21,1,3,1,12,0,160,212,40511,0
1,23,1,28,0,12,1,152,144,56589,0
0,27,1,30,1,12,0,152,246,33780,0
1,20,1,39,1,12,0,160,78,28329,0
0,38,1,28,0,6,1,124,234,34471,1
0,22,1,11,1,12,0,152,258,76651,0
1,25,1,8,0,12,1,152,206,54385,0
1,27,1,28,0,12,1,152,282,26732,0
1,51,1,19,0,6,1,124,228,2630,0
1,53,1,28,1,6,0,122,156,40397,0
0,24,1,22,1,12,0,152,125,34591,0
0,49,1,28,0,6,1,154,29,32771,0
0,41,1,28,0,6,1,124,212,54740,1
1,41,1,35,0,6,1,154,221,25112,0
0,23,1,47,0,12,1,152,18,28737,0
0,31,1,15,1,12,0,152,84,25908,0
1,20,1,3,1,12,0,160,206,41914,0
1,70,1,25,1,6,0,124,230,2630,0
1,78,1,28,1,6,0,26,54,42462,0
0,31,1,28,1,6,0,26,123,29395,0
0,48,1,36,1,6,0,124,189,2630,0
1,25,1,30,1,12,0,152,22,29396,0
0,28,1,44,0,6,1,156,258,37570,1
0,26,1,8,0,12,1,152,101,89282,0
0,60,1,28,1,6,0,26,114,30386,0
0,28,1,8,1,12,0,152,86,31454,0
1,23,1,36,1,12,0,152,243,52462,0
1,22,1,36,1,12,0,152,13,36352,0
0,50,1,28,0,6,1,26,237,36282,0
0,33,1,36,1,12,0,152,85,40899,0
1,24,1,35,1,12,0,152,98,23540,0
0,22,1,36,1,12,0,152,67,34527,0
1,25,1,28,1,12,0,152,49,101021,0
1,60,1,45,0,6,0,124,229,42888,0
1,46,1,28,0,6,1,26,128,60478,1
0,45,1,46,0,6,1,26,95,22689,0
1,30,1,28,1,6,0,125,264,40167,0
1,52,1,0,0,6,1,124,89,2630,0
1,47,1,15,1,6,0,14,99,29306,0
1,59,1,41,1,6,0,26,29,28821,0
0,51,1,28,0,6,1,26,208,57008,0
1,52,1,0,1,6,0,26,134,2630,0
1,48,1,8,0,24,1,124,135,44021,0
1,42,1,37,0,6,1,124,268,36532,0
0,45,1,28,0,6,1,26,85,25604,0
0,27,1,11,1,6,0,124,254,26756,0
0,28,1,8,1,12,0,152,30,37731,0
0,24,1,16,1,12,0,152,284,28190,0
1,32,1,46,1,12,0,152,183,23847,0
1,21,1,47,0,12,0,160,119,37028,0
1,39,1,28,1,6,0,26,166,29468,0
1,55,1,30,1,6,0,26,226,29215,0
0,56,1,15,0,6,0,154,229,29132,0
1,42,1,3,0,6,1,124,105,32293,1
0,26,1,26,1,12,0,152,142,2630,0
0,42,1,28,0,6,1,124,242,40613,0
1,55,1,28,0,6,1,124,203,49470,0
0,41,1,28,0,6,1,124,207,22561,1
1,22,1,11,1,12,0,152,272,21126,0
1,42,1,8,0,6,0,154,66,24224,0
0,30,1,28,0,12,1,122,263,39104,1
1,21,1,30,0,12,1,160,64,26720,0
0,23,1,46,1,12,0,152,57,18682,0
0,21,1,6,0,12,1,152,40,19196,0
1,24,1,6,1,12,0,151,245,18576,0
1,26,1,37,0,12,1,160,163,57159,0
0,48,1,28,1,6,0,124,24,35945,0
1,45,1,28,0,6,1,26,243,33205,0
1,44,1,28,0,24,1,124,23,42754,1
1,42,1,45,0,6,0,25,102,28759,0
1,44,1,2,0,6,0,26,265,34618,0
0,25,1,9,0,12,0,160,202,34280,0
0,60,1,28,0,24,1,26,36,65472,0
0,21,1,46,0,12,1,152,259,33245,0
1,22,1,15,0,12,1,160,100,32252,0
1,23,1,41,1,12,0,152,91,26285,0
0,44,1,28,1,6,0,124,114,2630,0
1,40,1,20,0,6,1,26,204,2630,0
1,21,1,27,1,12,0,160,106,45006,0
0,61,1,28,0,24,1,157,190,2630,1
1,75,1,28,0,24,1,124,162,40765,0
0,53,1,28,1,6,0,61,33,44313,0
1,37,1,8,1,6,0,152,194,29099,0
1,29,1,28,1,12,0,152,85,44742,0
1,32,1,50,0,12,0,1,287,2630,0
0,64,1,28,1,6,1,26,287,41697,0
1,42,1,31,0,6,1,124,181,2630,0
1,24,1,47,0,12,1,124,292,36414,0
1,53,1,0,0,6,1,26,69,2630,0
1,62,1,15,0,6,0,86,239,44679,0
1,25,1,46,1,12,0,152,235,39914,0
1,23,1,39,0,12,1,152,281,29575,1
0,48,1,33,0,6,1,154,132,44724,0
1,28,1,15,1,12,0,152,245,38339,0
1,33,1,3,1,6,0,152,255,27609,0
0,63,1,28,0,24,1,26,281,31004,0
1,22,1,46,1,12,0,152,147,30745,0
1,27,1,3,1,12,0,152,125,27181,0
0,36,1,28,0,6,1,124,230,40431,0
1,49,1,28,0,6,1,26,49,45558,0
0,39,1,46,0,6,0,26,116,35145,0
0,21,1,11,0,12,1,152,242,35555,1
0,57,1,46,0,6,1,26,158,30777,0
0,43,1,28,0,6,1,31,203,29578,1
0,25,1,27,0,12,0,152,167,2630,0
1,41,1,11,1,6,0,26,152,35614,0
1,33,1,31,1,12,0,152,259,2630,0
1,23,1,12,1,12,0,26,111,24886,0
0,20,1,34,0,12,1,160,281,33247,0
1,36,1,28,1,6,0,124,121,47682,0
1,21,1,13,1,12,0,152,30,37710,0
0,57,1,28,0,24,1,26,71,2630,0
1,25,1,28,1,12,0,152,150,43516,0
0,24,1,46,0,12,1,152,246,27141,0
1,67,1,28,1,6,0,122,63,31011,0
1,24,1,13,1,12,0,152,207,44603,0
1,54,1,28,0,6,1,124,237,34367,1
0,22,1,12,1,12,0,152,128,29823,0
1,45,1,30,1,6,0,26,121,2630,0
1,22,1,36,1,12,0,152,60,2630,0
1,24,1,28,0,12,1,152,143,21583,0
0,22,1,11,1,12,0,152,117,32234,0
1,48,1,28,0,6,1,26,77,42028,0
0,28,1,21,1,12,0,152,95,26106,0
0,27,1,50,0,12,1,160,83,2630,0
1,49,1,46,1,6,0,30,198,2630,0
1,62,1,8,0,6,1,26,194,47272,0
1,45,1,28,0,6,1,26,116,42704,0
0,60,1,6,0,6,1,157,143,2630,0
0,20,1,17,0,6,0,156,181,2630,0
0,38,1,10,0,6,1,124,103,37039,0
0,52,1,31,0,6,1,26,127,2630,0
0,36,1,15,0,6,1,26,69,2630,1
1,55,1,28,0,24,1,26,285,41246,0
0,20,1,35,0,12,1,160,214,34281,0
1,25,1,28,1,12,0,26,151,47031,0
1,25,1,39,0,12,0,152,217,2630,0
0,54,1,41,0,6,1,124,199,53581,1
0,21,1,14,1,12,0,152,56,36712,0
1,40,1,48,0,24,1,26,86,2630,0
1,36,1,28,0,6,1,124,143,34165,0
1,42,1,15,0,6,1,26,66,28883,0
1,24,1,10,1,12,0,152,45,35443,0
1,39,1,28,0,6,1,157,186,32807,0
1,26,1,10,0,12,1,152,69,24115,0
1,64,1,8,0,6,1,124,293,2630,0
0,25,1,47,1,12,0,160,299,2630,0
0,22,1,13,1,12,0,152,66,37093,0
0,43,1,3,0,6,1,26,59,31020,1
0,28,1,6,1,12,0,152,215,18683,0
1,22,1,13,1,12,0,152,104,33413,0
0,26,1,16,0,12,1,152,238,32232,0
0,22,1,46,0,12,1,152,120,31180,0
1,60,1,8,0,6,1,124,21,2630,0
0,49,1,31,0,6,1,124,32,2630,1
1,22,1,21,1,12,0,152,29,30893,0
1,21,1,29,1,12,0,152,258,43798,0
1,67,1,28,0,6,1,124,171,32653,0
0,35,1,28,0,6,1,150,223,41662,0
0,24,1,33,1,12,0,152,270,20513,0
1,24,1,11,1,12,0,152,233,27771,0
1,24,1,15,1,12,0,152,143,23267,0
0,28,1,41,1,12,0,152,211,37948,0
0,24,1,30,1,12,0,152,149,24414,0
1,71,1,28,0,6,1,124,105,42881,0
1,26,1,35,1,12,0,152,165,51047,0
0,45,1,28,0,24,1,157,86,73929,0
0,59,1,39,0,6,1,124,200,44630,0
0,26,1,28,1,12,0,152,197,44082,0
0,24,1,46,1,12,0,152,11,21006,0
1,42,1,8,0,6,1,124,213,35600,0
1,20,1,12,0,12,1,160,49,82705,0
1,54,1,6,1,6,0,124,93,24515,0
1,48,1,8,1,6,0,124,113,41483,0
1,59,1,41,0,6,1,156,88,2630,0
1,43,1,5,1,6,1,124,178,2630,0
0,40,1,29,0,6,1,157,77,2630,0
1,77,1,50,1,6,0,124,10,42327,0
0,22,1,28,0,12,1,152,290,48276,0
0,35,1,28,0,6,1,125,94,41029,0
1,24,1,8,1,12,0,152,231,35981,0
0,24,1,33,1,12,0,152,45,32219,0
0,26,1,47,1,12,0,152,296,2630,0
1,26,1,30,1,12,0,152,270,2630,0
1,39,1,28,0,6,1,157,10,38036,0
0,52,1,45,0,6,1,26,265,23918,0
1,20,1,28,1,12,0,160,255,31367,0
1,69,1,28,0,6,1,122,47,30727,0
0,28,1,46,1,12,0,160,122,41526,0
1,44,1,28,0,6,1,124,237,30427,1
0,22,1,8,1,12,0,152,217,48773,0
1,20,1,29,1,6,0,157,271,2630,0
1,21,1,8,1,12,0,160,278,27076,0
1,23,1,18,1,12,0,26,16,35970,0
1,36,1,8,0,6,1,26,249,30941,0
0,69,1,28,0,6,1,26,189,32400,1
1,27,1,15,0,12,1,152,260,33845,0
1,47,1,41,1,6,0,26,226,36809,0
0,49,1,28,0,6,1,124,271,48505,0
1,25,1,25,1,12,0,152,275,32856,0
0,21,1,29,1,12,0,152,278,29166,0
1,42,1,38,0,6,1,156,116,34193,1
1,22,1,37,0,12,1,152,221,38240,1
0,42,1,28,0,6,1,124,276,39977,0
0,31,1,28,0,6,1,124,190,39423,0
0,60,1,36,1,6,1,124,33,36638,0
1,46,1,29,0,6,1,124,64,28946,0
0,23,1,46,1,12,0,152,88,2630,0
0,22,1,30,1,12,0,152,107,18202,0
1,20,1,8,1,12,0,160,79,38076,0
1,57,1,28,0,6,1,122,96,19618,1
0,29,1,28,1,12,0,152,93,27715,0
1,22,1,46,1,12,1,152,240,28311,0
0,22,1,36,0,12,1,152,211,2630,0
1,43,1,28,0,6,1,124,172,39495,1
1,54,1,15,0,6,1,124,171,35116,1
1,44,1,28,0,6,1,124,214,39450,0
0,23,1,8,1,12,0,152,257,42644,0
0,50,1,28,0,6,1,30,218,68147,0
1,50,1,28,1,6,0,122,224,42024,0
0,44,1,41,0,6,1,124,173,30875,0
1,22,1,46,1,12,0,152,220,25037,0
1,31,1,24,0,6,1,156,257,2630,0
0,20,1,12,0,12,1,160,203,2630,0
1,52,1,30,1,12,0,1,152,2630,0
1,58,1,28,1,6,0,23,94,44522,0
1,59,1,49,0,6,1,124,143,39971,0
0,25,1,8,1,12,0,152,213,42307,0
1,45,1,28,0,24,1,122,222,49145,1
1,44,1,46,1,6,0,26,193,50696,0
0,38,1,29,0,6,1,122,169,47639,0
1,38,1,28,0,6,1,124,32,65212,0
1,23,1,27,1,12,0,160,199,26287,0
0,78,1,46,1,6,0,11,185,31616,0
1,20,1,35,1,12,0,160,81,2630,0
1,25,1,11,0,12,0,152,132,38081,0
1,47,1,28,1,6,0,124,213,31269,0
1,66,1,31,0,24,1,26,90,2630,0
0,55,1,28,0,24,1,26,190,49146,1
0,24,1,8,0,12,1,152,86,54408,0
1,26,1,8,1,12,0,152,81,54203,0
0,22,1,28,1,12,0,26,51,38452,0
0,34,1,28,0,6,0,124,205,46685,0
1,66,1,28,0,6,0,122,80,42644,0
0,44,1,28,0,6,1,122,245,45485,0
1,21,1,13,0,12,1,152,70,28733,0
1,20,1,46,0,12,1,160,284,49211,0
1,22,1,50,1,12,0,152,70,36287,0
0,25,1,37,0,12,1,152,249,2630,0
0,49,1,29,0,6,0,156,265,2630,0
1,50,1,31,0,6,1,124,237,2630,0
1,75,1,8,1,6,0,26,11,2630,0
1,31,1,28,0,12,1,26,132,32883,0
1,21,1,28,0,12,0,152,186,2630,0
0,47,1,15,0,6,1,14,166,2630,0
1,59,1,28,0,6,1,124,160,44233,1
1,23,1,47,0,12,1,152,277,25080,1
1,65,1,28,0,6,1,26,186,90789,1
0,27,1,33,0,12,1,152,125,2630,0
1,49,1,28,0,6,1,26,158,37214,1
1,51,1,28,0,6,1,26,34,37690,0
0,66,1,47,0,6,1,26,92,34757,0
1,45,1,28,0,6,0,124,245,42620,0
0,45,1,35,1,6,0,26,200,2630,0
0,68,1,30,1,6,0,160,218,2630,0
1,47,1,28,0,24,1,124,237,33145,0
1,28,1,6,0,6,1,124,282,31181,0
0,25,1,40,0,12,1,152,104,39361,0
0,51,1,28,0,24,1,124,137,33632,0
0,24,1,6,1,12,0,152,168,29371,0
0,25,1,43,1,12,0,160,177,27080,0
0,24,1,43,0,12,1,152,185,29981,0
1,41,1,21,0,6,1,157,87,29440,1
1,29,1,46,0,12,1,152,118,2630,0
0,22,1,46,1,12,0,160,113,31506,0
0,38,1,38,1,6,0,124,158,37379,0
0,26,1,8,1,12,0,152,181,22650,0
1,23,1,6,1,12,0,152,256,24308,0
0,36,1,46,0,12,1,1,94,2630,0
0,37,1,28,0,6,1,152,88,20267,0
0,21,1,8,1,12,1,152,99,46704,0
0,24,1,13,0,12,1,151,19,2630,0
1,22,1,46,1,12,0,152,220,23810,0
1,54,1,28,1,6,0,124,288,34431,0
0,21,1,34,0,6,1,163,86,36314,1
0,44,1,28,0,6,1,152,295,119735,0
1,48,1,8,0,6,1,124,247,42100,1
1,42,1,11,0,6,1,124,46,40473,0
0,45,1,28,0,6,1,26,134,27616,0
1,25,1,16,1,12,0,152,178,2630,0
1,76,1,15,1,6,0,14,126,39952,0
1,64,1,28,0,6,1,60,116,42417,0
1,29,1,8,0,12,1,124,241,42992,0
0,28,1,14,1,12,0,152,258,27555,0
0,24,1,46,1,12,0,152,128,25784,0
0,49,1,8,0,6,1,124,197,38022,0
1,53,1,39,0,6,1,157,83,2630,0
0,67,1,29,0,6,1,124,30,43753,1
1,54,1,33,0,6,1,124,295,39396,0
0,25,1,23,1,12,0,152,228,2630,0
0,21,1,30,1,12,0,152,82,24030,0
0,39,1,28,0,6,1,124,74,33016,0
1,54,1,35,0,6,1,26,113,26629,1
0,24,1,32,0,12,1,152,107,2630,0
0,23,1,2,1,12,0,152,247,24881,0
1,33,1,15,1,12,0,152,190,2630,0
0,23,1,37,0,12,1,152,126,21214,1
0,23,1,21,0,12,1,152,270,24388,0
1,47,1,46,1,6,0,21,270,2630,0
1,63,1,28,0,6,1,124,85,44879,0
0,27,1,10,0,12,1,152,152,24453,0
1,49,1,8,0,6,1,124,98,41648,0
1,29,1,28,0,12,1,160,227,40186,0
1,46,1,33,0,6,1,124,77,30866,0
1,33,1,11,1,12,0,152,271,35263,0
1,40,1,8,1,6,0,152,165,31839,0
0,30,1,49,0,12,1,152,270,27967,0
1,52,1,28,0,6,1,124,217,46090,1
1,23,1,35,1,12,0,152,128,27968,0
1,70,1,28,0,24,1,122,115,51565,0
1,24,1,2,0,12,1,152,224,26707,0
1,42,1,33,0,24,1,124,107,35187,0
1,70,1,8,0,6,1,26,249,46177,0
0,22,1,46,0,12,1,152,46,26118,0
1,70,1,7,1,6,0,124,213,65479,0
0,23,1,28,1,12,0,152,177,38010,0
0,74,1,28,0,24,1,26,164,30128,1
0,22,1,43,0,6,1,157,236,42589,0
0,66,1,28,0,6,1,26,64,30967,0
0,24,1,8,0,12,1,152,155,42636,0
1,40,1,28,0,6,1,124,286,37142,0
1,59,1,8,1,6,0,26,134,34424,0
0,23,1,27,0,12,1,151,19,27827,0
1,45,1,46,0,6,1,26,186,37726,0
0,22,1,44,1,12,0,152,177,37232,0
1,30,1,28,0,12,1,121,119,51429,1
1,73,1,29,0,24,1,3,132,104002,0
0,33,1,7,0,6,0,26,103,2630,0
0,25,1,2,1,12,0,152,113,28342,0
0,44,1,28,0,6,1,26,30,52593,1
0,36,1,8,0,6,1,26,244,63198,1
1,69,1,46,1,6,0,26,293,44679,0
1,79,1,45,0,6,1,124,78,21882,0
0,24,1,28,1,12,0,152,108,28036,0
1,72,1,8,1,6,0,26,61,36462,0
0,39,1,28,0,6,1,154,59,45387,1
0,62,1,28,0,6,1,124,105,31026,0
1,43,1,18,0,6,1,124,268,39225,0
1,29,1,37,0,6,1,154,66,2630,0
0,20,1,28,1,12,1,160,120,2630,0
0,27,1,46,1,12,0,152,93,28640,0
1,20,1,8,0,12,1,160,292,40115,0
1,22,1,35,0,12,1,152,84,30083,0
1,56,1,28,0,6,1,26,183,32018,0
0,28,1,50,1,12,0,152,221,26788,0
1,20,1,36,1,12,0,152,13,27397,0
1,23,1,21,0,12,1,152,258,33870,0
0,31,1,15,1,12,0,152,233,33444,0
0,31,1,15,1,12,0,152,103,40315,0
0,51,1,28,0,6,1,26,15,39214,0
0,23,1,37,1,12,0,152,288,41919,0
1,37,1,28,0,6,1,124,135,42207,1
0,25,1,28,0,12,1,152,247,92716,0
0,25,1,28,1,12,0,152,295,74371,0
0,22,1,28,1,12,0,152,274,58936,0
0,31,1,18,1,12,0,152,201,44945,0
0,22,1,46,1,12,0,152,241,36430,0
1,29,1,7,1,12,0,152,59,2630,0
0,38,1,45,0,6,1,156,253,2630,0
0,26,1,15,1,12,0,152,97,32553,0
0,22,1,37,0,12,1,152,113,32093,1
0,70,1,28,0,6,1,139,102,37783,0
1,58,1,28,0,6,1,124,22,41394,0
1,52,1,12,0,6,1,124,264,29442,0
1,49,1,28,0,6,1,26,265,31733,0
0,24,1,30,0,12,0,152,127,39055,0
0,24,1,30,1,12,0,152,173,28829,0
0,76,1,8,0,6,1,163,92,38546,0
0,22,1,3,0,12,1,160,202,23309,0
0,23,1,43,1,12,0,152,25,25272,0
1,24,1,8,1,12,0,151,233,60219,0
0,25,1,47,0,12,1,152,246,40374,0
1,33,1,46,1,6,0,124,10,27599,0
1,51,1,18,1,6,0,26,88,2630,0
0,48,1,27,0,6,1,124,153,34900,0
1,38,1,48,0,6,1,124,67,2630,0
0,21,1,7,1,12,0,152,74,2630,0
1,36,1,9,1,6,0,152,174,41410,0
0,22,1,28,1,12,0,152,181,24980,0
1,53,1,28,1,6,1,26,182,36544,0
1,45,1,46,1,6,0,26,271,2630,0
1,24,1,15,1,12,0,151,259,23479,0
1,46,1,11,1,6,0,152,115,36581,0
0,57,1,41,1,6,0,152,220,24564,0
1,41,1,28,0,6,1,124,154,44898,0
1,45,1,28,0,6,1,26,204,2630,1
1,47,1,31,0,6,1,124,80,2630,0
1,51,1,41,0,24,1,12,82,31443,0
0,24,1,15,0,12,1,152,48,2630,0
1,57,1,28,0,6,1,26,122,24552,1
0,25,1,8,1,12,0,152,58,61805,0
1,46,1,8,1,6,0,124,229,34727,0
1,38,1,28,0,6,1,124,203,46272,1
0,48,1,28,0,6,1,26,166,47104,0
1,22,1,46,1,12,0,160,95,26647,0
1,27,1,46,1,12,0,152,244,26312,0
1,33,1,43,1,6,0,26,149,2630,0
1,23,1,47,1,12,0,152,277,35982,0
0,44,1,28,1,6,0,26,62,34612,0
0,24,1,41,1,12,0,152,201,29857,0
1,39,1,38,0,6,1,124,20,33149,0
0,21,1,13,1,12,0,160,283,24731,0
1,25,1,15,1,12,0,160,207,34661,0
0,51,1,33,0,6,1,152,39,31243,1
0,27,1,28,1,12,0,152,21,52455,0
0,42,1,8,0,24,1,124,209,34393,0
0,23,1,44,1,12,0,152,242,28978,0
1,36,1,28,1,6,0,26,104,44579,0
1,50,1,28,0,24,1,29,244,38269,0
1,69,0,33,0,6,1,26,53,39730,0
1,24,1,11,1,12,0,152,64,36316,0
1,57,1,7,0,6,1,124,52,2630,0
0,32,1,43,0,12,0,152,167,2630,0
1,68,1,8,0,6,1,26,206,112974,0
1,40,1,4,0,6,1,124,120,33466,1
1,37,1,30,0,6,1,26,141,29934,0
0,27,1,17,1,12,0,151,24,2630,0
0,21,1,47,0,12,1,160,89,57982,0
0,46,1,28,0,6,1,11,216,51568,0
1,55,1,28,0,6,1,55,114,54115,0
1,79,1,29,0,6,1,26,220,28777,0
0,22,1,8,0,12,1,152,90,35461,0
0,52,1,7,0,6,1,157,19,2630,1
1,22,1,30,1,12,0,152,226,28001,0
0,24,1,28,0,12,1,152,17,31901,0
1,32,1,21,1,12,0,152,261,25562,0
1,40,1,28,0,6,1,124,41,34364,0
0,23,1,8,1,12,0,152,202,48251,0
1,56,1,6,1,6,1,26,288,20472,0
1,57,1,28,0,6,1,26,160,31179,1
1,24,1,15,1,12,0,152,205,33613,0
0,27,1,33,1,12,0,160,266,2630,0
1,21,1,26,0,12,1,160,256,25205,0
0,72,1,28,0,6,1,122,35,61819,0
0,25,1,6,0,12,1,152,288,2630,0
0,21,1,7,1,12,0,160,135,48103,0
1,24,1,45,0,12,1,152,115,19848,0
0,25,1,24,1,12,0,152,36,2630,0
1,26,1,30,1,12,0,152,97,22102,0
0,75,1,46,1,6,0,26,288,30356,0
0,24,1,41,1,12,1,160,53,21093,0
1,66,1,14,0,6,1,124,200,40223,0
0,23,1,41,1,12,0,152,47,32465,0
0,49,1,46,0,6,1,26,184,25996,1
1,42,1,41,0,6,1,163,80,35129,1
0,25,1,23,1,12,0,152,140,19298,0
1,21,1,29,1,12,0,152,17,28450,0
0,23,1,28,1,12,0,152,83,28155,0
